cpu,freq,fan,load,temp
20.7,2.18,3546,255,70.0
22.5,2.3,3549,255,70.0
24.0,2.6,3548,255,69.0
21.1,1.87,3549,255,68.0
22.1,2.01,3546,255,68.0
22.2,2.47,3549,255,70.0
20.9,2.26,3549,255,69.0
21.3,2.07,3546,255,68.0
22.5,1.84,3547,255,69.0
22.7,2.01,3549,255,69.0
21.7,1.79,3549,255,69.0
23.2,2.36,3547,255,70.0
25.0,3.04,3547,255,70.0
24.5,2.71,3546,255,71.0
22.5,2.85,3546,255,72.0
21.3,2.58,3546,255,70.0
22.1,2.58,3547,255,69.0
23.0,2.74,3547,255,70.0
20.8,2.25,3549,255,70.0
23.6,2.69,3549,255,70.0
21.6,2.85,3549,255,70.0
20.8,2.33,3552,255,70.0
20.9,2.79,3525,254,69.0
20.9,2.08,3536,254,69.0
21.8,2.43,3525,254,69.0
23.1,1.81,3525,254,69.0
22.1,2.85,3525,254,69.0
25.0,2.22,3525,254,69.0
24.6,2.69,3525,254,69.0
23.3,1.86,3525,254,69.0
20.8,2.69,3527,254,69.0
21.4,2.06,3530,254,69.0
20.8,2.59,3530,254,70.0
20.3,2.03,3530,254,69.0
21.8,1.94,3533,254,68.0
25.7,2.54,3530,254,69.0
22.1,2.59,3530,254,69.0
20.5,2.44,3527,254,68.0
25.7,2.66,3530,254,70.0
24.1,1.97,3530,254,71.0
23.7,2.83,3527,254,71.0
24.7,2.57,3527,254,72.0
25.0,2.99,3525,254,72.0
26.2,2.8,3525,254,72.0
25.4,2.57,3525,254,73.0
28.4,3.05,3525,254,74.0
23.6,2.82,3557,254,73.0
25.4,3.02,3621,254,74.0
22.8,2.97,3770,254,74.0
23.5,2.95,3970,254,74.0
24.3,3.01,4052,254,74.0
21.5,2.51,4079,254,73.0
23.4,1.97,4051,254,72.0
26.3,2.41,4024,254,72.0
19.5,2.19,4024,254,72.0
26.5,2.15,4024,254,71.0
21.5,2.54,4024,254,72.0
22.4,2.53,4024,254,71.0
21.6,2.48,4024,254,72.0
21.7,2.79,4024,254,72.0
24.9,2.04,4024,254,71.0
22.7,2.36,4024,254,70.0
34.1,3.13,4024,254,71.0
27.3,3.0,4024,254,71.0
24.1,2.12,4024,254,71.0
92.0,2.99,4020,254,78.0
100.0,2.99,4017,254,76.0
